chrom	start	end	cate	start_bin	end_bin
chr7	63000000	65000000	B	63	65
chr7	65000000	68000000	A	65	68
chr7	68000000	73000000	B	68	73
chr7	73000000	74000000	A	73	74
chr7	74000000	79000000	B	74	79
chr7	79000000	84000000	A	79	84
chr7	84000000	98000000	B	84	98
chr7	98000000	104000000	A	98	104
chr7	104000000	105000000	B	104	105
chr7	105000000	108000000	A	105	108
chr7	108000000	109000000	B	108	109
chr7	109000000	143000000	A	109	143
chr8	0	10000000	B	0	10
chr8	10000000	15000000	A	10	15
chr8	15000000	22000000	B	15	22
chr8	22000000	27000000	A	22	27
chr8	27000000	33000000	B	27	33
chr8	33000000	37000000	A	33	37
chr8	37000000	45000000	B	37	45
chr8	45000000	48000000	A	45	48
chr8	48000000	69000000	B	48	69
chr8	69000000	73000000	A	69	73
chr8	73000000	78000000	B	73	78
chr8	78000000	81000000	A	78	81
chr8	81000000	83000000	B	81	83
chr8	83000000	96000000	A	83	96
chr8	96000000	104000000	B	96	104
chr8	104000000	127000000	A	104	127
chr9	0	21000000	B	0	21
chr9	21000000	22000000	A	21	22
chr9	22000000	42000000	B	22	42
chr9	42000000	74000000	A	42	74
chr9	74000000	96000000	B	74	96
chr9	96000000	122000000	A	96	122
chrX	0	5000000	B	0	5
chrX	5000000	24000000	A	5	24
chrX	24000000	25000000	B	24	25
chrX	25000000	27000000	A	25	27
chrX	27000000	33000000	B	27	33
chrX	33000000	55000000	A	33	55
chrX	55000000	56000000	B	55	56
chrX	56000000	61000000	A	56	61
chrX	61000000	69000000	B	61	69
chrX	69000000	77000000	A	69	77
chrX	77000000	84000000	B	77	84
chrX	84000000	88000000	A	84	88
chrX	88000000	93000000	B	88	93
chrX	93000000	109000000	A	93	109
chrX	109000000	130000000	B	109	130
chrX	130000000	154000000	A	130	154
chrX	154000000	155000000	B	154	155
chrX	155000000	169000000	A	155	169
